Period,Geography,Measure,Observation
1939,United Kingdom,Annual Mean Temperature,8.57
1940,United Kingdom,Annual Mean Temperature,8.01
1941,United Kingdom,Annual Mean Temperature,7.96
1942,United Kingdom,Annual Mean Temperature,8.03
1943,United Kingdom,Annual Mean Temperature,8.88
1944,United Kingdom,Annual Mean Temperature,8.44
1945,United Kingdom,Annual Mean Temperature,9.13
1946,United Kingdom,Annual Mean Temperature,8.35
1947,United Kingdom,Annual Mean Temperature,8.37
1948,United Kingdom,Annual Mean Temperature,8.81
1949,United Kingdom,Annual Mean Temperature,9.34
1950,United Kingdom,Annual Mean Temperature,8.3
1951,United Kingdom,Annual Mean Temperature,8.11
1952,United Kingdom,Annual Mean Temperature,7.99
1953,United Kingdom,Annual Mean Temperature,8.91
1954,United Kingdom,Annual Mean Temperature,8.13
1955,United Kingdom,Annual Mean Temperature,8.23
1956,United Kingdom,Annual Mean Temperature,7.9
1957,United Kingdom,Annual Mean Temperature,8.84
1958,United Kingdom,Annual Mean Temperature,8.25
1959,United Kingdom,Annual Mean Temperature,9.24
1960,United Kingdom,Annual Mean Temperature,8.54
1961,United Kingdom,Annual Mean Temperature,8.67
1962,United Kingdom,Annual Mean Temperature,7.56
1963,United Kingdom,Annual Mean Temperature,7.4
1964,United Kingdom,Annual Mean Temperature,8.31
1965,United Kingdom,Annual Mean Temperature,7.75
1966,United Kingdom,Annual Mean Temperature,8.19
1967,United Kingdom,Annual Mean Temperature,8.47
1968,United Kingdom,Annual Mean Temperature,8.16
1969,United Kingdom,Annual Mean Temperature,8.12
1970,United Kingdom,Annual Mean Temperature,8.31
1971,United Kingdom,Annual Mean Temperature,8.73
1972,United Kingdom,Annual Mean Temperature,8.1
1973,United Kingdom,Annual Mean Temperature,8.43
1974,United Kingdom,Annual Mean Temperature,8.38
1975,United Kingdom,Annual Mean Temperature,8.77
1976,United Kingdom,Annual Mean Temperature,8.74
1977,United Kingdom,Annual Mean Temperature,8.27
1978,United Kingdom,Annual Mean Temperature,8.23
1979,United Kingdom,Annual Mean Temperature,7.59
1980,United Kingdom,Annual Mean Temperature,8.26
1981,United Kingdom,Annual Mean Temperature,8.1
1982,United Kingdom,Annual Mean Temperature,8.66
1983,United Kingdom,Annual Mean Temperature,8.83
1984,United Kingdom,Annual Mean Temperature,8.57
1985,United Kingdom,Annual Mean Temperature,7.78
1986,United Kingdom,Annual Mean Temperature,7.67
1987,United Kingdom,Annual Mean Temperature,7.99
1988,United Kingdom,Annual Mean Temperature,8.73
1989,United Kingdom,Annual Mean Temperature,9.23
1990,United Kingdom,Annual Mean Temperature,9.38
1991,United Kingdom,Annual Mean Temperature,8.54
1992,United Kingdom,Annual Mean Temperature,8.69
1993,United Kingdom,Annual Mean Temperature,8.33
1994,United Kingdom,Annual Mean Temperature,8.89
1995,United Kingdom,Annual Mean Temperature,9.17
1996,United Kingdom,Annual Mean Temperature,8.18
1997,United Kingdom,Annual Mean Temperature,9.41
1998,United Kingdom,Annual Mean Temperature,9.16
1999,United Kingdom,Annual Mean Temperature,9.37
2000,United Kingdom,Annual Mean Temperature,9.1
2001,United Kingdom,Annual Mean Temperature,8.8
2002,United Kingdom,Annual Mean Temperature,9.44
2003,United Kingdom,Annual Mean Temperature,9.47
2004,United Kingdom,Annual Mean Temperature,9.44
2005,United Kingdom,Annual Mean Temperature,9.42
2006,United Kingdom,Annual Mean Temperature,9.7
2007,United Kingdom,Annual Mean Temperature,9.56
2008,United Kingdom,Annual Mean Temperature,9.02
2009,United Kingdom,Annual Mean Temperature,9.14
2010,United Kingdom,Annual Mean Temperature,7.94
2011,United Kingdom,Annual Mean Temperature,9.61
2012,United Kingdom,Annual Mean Temperature,8.74
2013,United Kingdom,Annual Mean Temperature,8.74
2014,United Kingdom,Annual Mean Temperature,9.88
2015,United Kingdom,Annual Mean Temperature,9.18
2016,United Kingdom,Annual Mean Temperature,9.29
2017,United Kingdom,Annual Mean Temperature,9.53
2018,United Kingdom,Annual Mean Temperature,9.45
2019,United Kingdom,Annual Mean Temperature,9.39
2020,United Kingdom,Annual Mean Temperature,9.62
2021,United Kingdom,Annual Mean Temperature,9.28
2022,United Kingdom,Annual Mean Temperature,10.03
1884,England,Annual Mean Temperature,9.26
1885,England,Annual Mean Temperature,8.11
1886,England,Annual Mean Temperature,8.25
1887,England,Annual Mean Temperature,7.97
1888,England,Annual Mean Temperature,7.82
1889,England,Annual Mean Temperature,8.5
1890,England,Annual Mean Temperature,8.45
1891,England,Annual Mean Temperature,8.1
1892,England,Annual Mean Temperature,7.68
1893,England,Annual Mean Temperature,9.44
1894,England,Annual Mean Temperature,8.82
1895,England,Annual Mean Temperature,8.28
1896,England,Annual Mean Temperature,8.89
1897,England,Annual Mean Temperature,8.97
1898,England,Annual Mean Temperature,9.58
1899,England,Annual Mean Temperature,9.31
1900,England,Annual Mean Temperature,9.09
1901,England,Annual Mean Temperature,8.66
1902,England,Annual Mean Temperature,8.4
1903,England,Annual Mean Temperature,8.79
1904,England,Annual Mean Temperature,8.64
1905,England,Annual Mean Temperature,8.72
1906,England,Annual Mean Temperature,9.02
1907,England,Annual Mean Temperature,8.51
1908,England,Annual Mean Temperature,8.86
1909,England,Annual Mean Temperature,8.17
1910,England,Annual Mean Temperature,8.8
1911,England,Annual Mean Temperature,9.63
1912,England,Annual Mean Temperature,8.95
1913,England,Annual Mean Temperature,9.35
1914,England,Annual Mean Temperature,9.45
1915,England,Annual Mean Temperature,8.54
1916,England,Annual Mean Temperature,8.77
1917,England,Annual Mean Temperature,8.14
1918,England,Annual Mean Temperature,9.09
1919,England,Annual Mean Temperature,8.1
1920,England,Annual Mean Temperature,9.15
1921,England,Annual Mean Temperature,10.08
1922,England,Annual Mean Temperature,8.29
1923,England,Annual Mean Temperature,8.68
1924,England,Annual Mean Temperature,8.86
1925,England,Annual Mean Temperature,8.81
1926,England,Annual Mean Temperature,9.29
1927,England,Annual Mean Temperature,8.77
1928,England,Annual Mean Temperature,9.14
1929,England,Annual Mean Temperature,8.63
1930,England,Annual Mean Temperature,9.07
1931,England,Annual Mean Temperature,8.58
1932,England,Annual Mean Temperature,8.97
1933,England,Annual Mean Temperature,9.44
1934,England,Annual Mean Temperature,9.57
1935,England,Annual Mean Temperature,9.32
1936,England,Annual Mean Temperature,8.89
1937,England,Annual Mean Temperature,9.11
1938,England,Annual Mean Temperature,9.63
1939,England,Annual Mean Temperature,9.22
1940,England,Annual Mean Temperature,8.61
1941,England,Annual Mean Temperature,8.62
1942,England,Annual Mean Temperature,8.66
1943,England,Annual Mean Temperature,9.6
1944,England,Annual Mean Temperature,9.1
1945,England,Annual Mean Temperature,9.82
1946,England,Annual Mean Temperature,9.02
1947,England,Annual Mean Temperature,9.17
1948,England,Annual Mean Temperature,9.54
1949,England,Annual Mean Temperature,10.11
1950,England,Annual Mean Temperature,9.06
1951,England,Annual Mean Temperature,8.87
1952,England,Annual Mean Temperature,8.75
1953,England,Annual Mean Temperature,9.45
1954,England,Annual Mean Temperature,8.81
1955,England,Annual Mean Temperature,8.87
1956,England,Annual Mean Temperature,8.43
1957,England,Annual Mean Temperature,9.58
1958,England,Annual Mean Temperature,8.97
1959,England,Annual Mean Temperature,10.0
1960,England,Annual Mean Temperature,9.26
1961,England,Annual Mean Temperature,9.49
1962,England,Annual Mean Temperature,8.1
1963,England,Annual Mean Temperature,7.95
1964,England,Annual Mean Temperature,8.94
1965,England,Annual Mean Temperature,8.48
1966,England,Annual Mean Temperature,9.0
1967,England,Annual Mean Temperature,9.2
1968,England,Annual Mean Temperature,8.89
1969,England,Annual Mean Temperature,8.86
1970,England,Annual Mean Temperature,9.1
1971,England,Annual Mean Temperature,9.31
1972,England,Annual Mean Temperature,8.78
1973,England,Annual Mean Temperature,9.18
1974,England,Annual Mean Temperature,9.07
1975,England,Annual Mean Temperature,9.47
1976,England,Annual Mean Temperature,9.49
1977,England,Annual Mean Temperature,9.01
1978,England,Annual Mean Temperature,8.91
1979,England,Annual Mean Temperature,8.4
1980,England,Annual Mean Temperature,8.92
1981,England,Annual Mean Temperature,8.84
1982,England,Annual Mean Temperature,9.44
1983,England,Annual Mean Temperature,9.6
1984,England,Annual Mean Temperature,9.28
1985,England,Annual Mean Temperature,8.52
1986,England,Annual Mean Temperature,8.39
1987,England,Annual Mean Temperature,8.73
1988,England,Annual Mean Temperature,9.42
1989,England,Annual Mean Temperature,10.17
1990,England,Annual Mean Temperature,10.29
1991,England,Annual Mean Temperature,9.2
1992,England,Annual Mean Temperature,9.49
1993,England,Annual Mean Temperature,9.13
1994,England,Annual Mean Temperature,9.84
1995,England,Annual Mean Temperature,10.07
1996,England,Annual Mean Temperature,8.8
1997,England,Annual Mean Temperature,10.14
1998,England,Annual Mean Temperature,9.97
1999,England,Annual Mean Temperature,10.26
2000,England,Annual Mean Temperature,9.92
2001,England,Annual Mean Temperature,9.63
2002,England,Annual Mean Temperature,10.28
2003,England,Annual Mean Temperature,10.23
2004,England,Annual Mean Temperature,10.21
2005,England,Annual Mean Temperature,10.16
2006,England,Annual Mean Temperature,10.57
2007,England,Annual Mean Temperature,10.34
2008,England,Annual Mean Temperature,9.8
2009,England,Annual Mean Temperature,9.92
2010,England,Annual Mean Temperature,8.76
2011,England,Annual Mean Temperature,10.54
2012,England,Annual Mean Temperature,9.53
2013,England,Annual Mean Temperature,9.43
2014,England,Annual Mean Temperature,10.75
2015,England,Annual Mean Temperature,10.15
2016,England,Annual Mean Temperature,10.12
2017,England,Annual Mean Temperature,10.39
2018,England,Annual Mean Temperature,10.43
2019,England,Annual Mean Temperature,10.22
2020,England,Annual Mean Temperature,10.56
2021,England,Annual Mean Temperature,10.06
2022,England,Annual Mean Temperature,10.93
1884,Wales,Annual Mean Temperature,8.71
1885,Wales,Annual Mean Temperature,7.57
1886,Wales,Annual Mean Temperature,7.86
1887,Wales,Annual Mean Temperature,7.52
1888,Wales,Annual Mean Temperature,7.52
1889,Wales,Annual Mean Temperature,8.16
1890,Wales,Annual Mean Temperature,8.08
1891,Wales,Annual Mean Temperature,7.91
1892,Wales,Annual Mean Temperature,7.46
1893,Wales,Annual Mean Temperature,9.34
1894,Wales,Annual Mean Temperature,8.55
1895,Wales,Annual Mean Temperature,7.74
1896,Wales,Annual Mean Temperature,8.5
1897,Wales,Annual Mean Temperature,8.72
1898,Wales,Annual Mean Temperature,9.16
1899,Wales,Annual Mean Temperature,9.05
1900,Wales,Annual Mean Temperature,8.53
1901,Wales,Annual Mean Temperature,8.27
1902,Wales,Annual Mean Temperature,8.03
1903,Wales,Annual Mean Temperature,8.33
1904,Wales,Annual Mean Temperature,8.22
1905,Wales,Annual Mean Temperature,8.32
1906,Wales,Annual Mean Temperature,8.5
1907,Wales,Annual Mean Temperature,8.15
1908,Wales,Annual Mean Temperature,8.66
1909,Wales,Annual Mean Temperature,7.92
1910,Wales,Annual Mean Temperature,8.51
1911,Wales,Annual Mean Temperature,9.24
1912,Wales,Annual Mean Temperature,8.6
1913,Wales,Annual Mean Temperature,9.07
1914,Wales,Annual Mean Temperature,9.09
1915,Wales,Annual Mean Temperature,8.28
1916,Wales,Annual Mean Temperature,8.42
1917,Wales,Annual Mean Temperature,7.77
1918,Wales,Annual Mean Temperature,8.82
1919,Wales,Annual Mean Temperature,7.78
1920,Wales,Annual Mean Temperature,8.81
1921,Wales,Annual Mean Temperature,9.7
1922,Wales,Annual Mean Temperature,7.96
1923,Wales,Annual Mean Temperature,8.43
1924,Wales,Annual Mean Temperature,8.49
1925,Wales,Annual Mean Temperature,8.45
1926,Wales,Annual Mean Temperature,8.94
1927,Wales,Annual Mean Temperature,8.48
1928,Wales,Annual Mean Temperature,8.8
1929,Wales,Annual Mean Temperature,8.28
1930,Wales,Annual Mean Temperature,8.6
1931,Wales,Annual Mean Temperature,8.28
1932,Wales,Annual Mean Temperature,8.6
1933,Wales,Annual Mean Temperature,8.86
1934,Wales,Annual Mean Temperature,9.07
1935,Wales,Annual Mean Temperature,8.85
1936,Wales,Annual Mean Temperature,8.59
1937,Wales,Annual Mean Temperature,8.71
1938,Wales,Annual Mean Temperature,9.15
1939,Wales,Annual Mean Temperature,8.86
1940,Wales,Annual Mean Temperature,8.4
1941,Wales,Annual Mean Temperature,8.36
1942,Wales,Annual Mean Temperature,8.54
1943,Wales,Annual Mean Temperature,9.17
1944,Wales,Annual Mean Temperature,8.82
1945,Wales,Annual Mean Temperature,9.31
1946,Wales,Annual Mean Temperature,8.55
1947,Wales,Annual Mean Temperature,8.57
1948,Wales,Annual Mean Temperature,9.14
1949,Wales,Annual Mean Temperature,9.78
1950,Wales,Annual Mean Temperature,8.61
1951,Wales,Annual Mean Temperature,8.47
1952,Wales,Annual Mean Temperature,8.38
1953,Wales,Annual Mean Temperature,9.12
1954,Wales,Annual Mean Temperature,8.49
1955,Wales,Annual Mean Temperature,8.63
1956,Wales,Annual Mean Temperature,8.23
1957,Wales,Annual Mean Temperature,9.3
1958,Wales,Annual Mean Temperature,8.66
1959,Wales,Annual Mean Temperature,9.64
1960,Wales,Annual Mean Temperature,8.8
1961,Wales,Annual Mean Temperature,8.95
1962,Wales,Annual Mean Temperature,7.79
1963,Wales,Annual Mean Temperature,7.57
1964,Wales,Annual Mean Temperature,8.56
1965,Wales,Annual Mean Temperature,8.1
1966,Wales,Annual Mean Temperature,8.62
1967,Wales,Annual Mean Temperature,8.71
1968,Wales,Annual Mean Temperature,8.5
1969,Wales,Annual Mean Temperature,8.39
1970,Wales,Annual Mean Temperature,8.69
1971,Wales,Annual Mean Temperature,9.04
1972,Wales,Annual Mean Temperature,8.27
1973,Wales,Annual Mean Temperature,8.81
1974,Wales,Annual Mean Temperature,8.56
1975,Wales,Annual Mean Temperature,9.09
1976,Wales,Annual Mean Temperature,8.9
1977,Wales,Annual Mean Temperature,8.66
1978,Wales,Annual Mean Temperature,8.55
1979,Wales,Annual Mean Temperature,7.86
1980,Wales,Annual Mean Temperature,8.51
1981,Wales,Annual Mean Temperature,8.44
1982,Wales,Annual Mean Temperature,8.96
1983,Wales,Annual Mean Temperature,9.16
1984,Wales,Annual Mean Temperature,8.94
1985,Wales,Annual Mean Temperature,8.08
1986,Wales,Annual Mean Temperature,7.88
1987,Wales,Annual Mean Temperature,8.27
1988,Wales,Annual Mean Temperature,9.0
1989,Wales,Annual Mean Temperature,9.58
1990,Wales,Annual Mean Temperature,9.76
1991,Wales,Annual Mean Temperature,8.7
1992,Wales,Annual Mean Temperature,8.98
1993,Wales,Annual Mean Temperature,8.64
1994,Wales,Annual Mean Temperature,9.27
1995,Wales,Annual Mean Temperature,9.66
1996,Wales,Annual Mean Temperature,8.39
1997,Wales,Annual Mean Temperature,9.69
1998,Wales,Annual Mean Temperature,9.53
1999,Wales,Annual Mean Temperature,9.75
2000,Wales,Annual Mean Temperature,9.36
2001,Wales,Annual Mean Temperature,9.08
2002,Wales,Annual Mean Temperature,9.63
2003,Wales,Annual Mean Temperature,9.61
2004,Wales,Annual Mean Temperature,9.66
2005,Wales,Annual Mean Temperature,9.7
2006,Wales,Annual Mean Temperature,9.93
2007,Wales,Annual Mean Temperature,9.85
2008,Wales,Annual Mean Temperature,9.29
2009,Wales,Annual Mean Temperature,9.28
2010,Wales,Annual Mean Temperature,8.12
2011,Wales,Annual Mean Temperature,9.89
2012,Wales,Annual Mean Temperature,9.08
2013,Wales,Annual Mean Temperature,8.98
2014,Wales,Annual Mean Temperature,10.09
2015,Wales,Annual Mean Temperature,9.47
2016,Wales,Annual Mean Temperature,9.62
2017,Wales,Annual Mean Temperature,9.88
2018,Wales,Annual Mean Temperature,9.71
2019,Wales,Annual Mean Temperature,9.67
2020,Wales,Annual Mean Temperature,9.92
2021,Wales,Annual Mean Temperature,9.63
2022,Wales,Annual Mean Temperature,10.22
1884,Scotland,Annual Mean Temperature,7.05
1885,Scotland,Annual Mean Temperature,5.96
1886,Scotland,Annual Mean Temperature,5.94
1887,Scotland,Annual Mean Temperature,6.58
1888,Scotland,Annual Mean Temperature,6.18
1889,Scotland,Annual Mean Temperature,7.04
1890,Scotland,Annual Mean Temperature,6.97
1891,Scotland,Annual Mean Temperature,6.55
1892,Scotland,Annual Mean Temperature,5.7
1893,Scotland,Annual Mean Temperature,7.43
1894,Scotland,Annual Mean Temperature,6.96
1895,Scotland,Annual Mean Temperature,6.2
1896,Scotland,Annual Mean Temperature,7.07
1897,Scotland,Annual Mean Temperature,6.8
1898,Scotland,Annual Mean Temperature,7.55
1899,Scotland,Annual Mean Temperature,7.1
1900,Scotland,Annual Mean Temperature,6.84
1901,Scotland,Annual Mean Temperature,7.01
1902,Scotland,Annual Mean Temperature,6.43
1903,Scotland,Annual Mean Temperature,6.6
1904,Scotland,Annual Mean Temperature,6.81
1905,Scotland,Annual Mean Temperature,7.19
1906,Scotland,Annual Mean Temperature,7.0
1907,Scotland,Annual Mean Temperature,6.63
1908,Scotland,Annual Mean Temperature,7.28
1909,Scotland,Annual Mean Temperature,6.32
1910,Scotland,Annual Mean Temperature,6.79
1911,Scotland,Annual Mean Temperature,7.38
1912,Scotland,Annual Mean Temperature,6.78
1913,Scotland,Annual Mean Temperature,7.24
1914,Scotland,Annual Mean Temperature,7.35
1915,Scotland,Annual Mean Temperature,6.46
1916,Scotland,Annual Mean Temperature,6.89
1917,Scotland,Annual Mean Temperature,6.36
1918,Scotland,Annual Mean Temperature,6.91
1919,Scotland,Annual Mean Temperature,6.15
1920,Scotland,Annual Mean Temperature,7.22
1921,Scotland,Annual Mean Temperature,7.69
1922,Scotland,Annual Mean Temperature,6.39
1923,Scotland,Annual Mean Temperature,6.62
1924,Scotland,Annual Mean Temperature,6.97
1925,Scotland,Annual Mean Temperature,6.86
1926,Scotland,Annual Mean Temperature,7.28
1927,Scotland,Annual Mean Temperature,6.73
1928,Scotland,Annual Mean Temperature,6.91
1929,Scotland,Annual Mean Temperature,6.74
1930,Scotland,Annual Mean Temperature,6.93
1931,Scotland,Annual Mean Temperature,6.86
1932,Scotland,Annual Mean Temperature,7.22
1933,Scotland,Annual Mean Temperature,7.77
1934,Scotland,Annual Mean Temperature,7.66
1935,Scotland,Annual Mean Temperature,7.11
1936,Scotland,Annual Mean Temperature,7.1
1937,Scotland,Annual Mean Temperature,6.95
1938,Scotland,Annual Mean Temperature,7.68
1939,Scotland,Annual Mean Temperature,7.36
1940,Scotland,Annual Mean Temperature,6.83
1941,Scotland,Annual Mean Temperature,6.68
1942,Scotland,Annual Mean Temperature,6.78
1943,Scotland,Annual Mean Temperature,7.54
1944,Scotland,Annual Mean Temperature,7.17
1945,Scotland,Annual Mean Temperature,7.89
1946,Scotland,Annual Mean Temperature,7.14
1947,Scotland,Annual Mean Temperature,6.96
1948,Scotland,Annual Mean Temperature,7.46
1949,Scotland,Annual Mean Temperature,7.91
1950,Scotland,Annual Mean Temperature,6.92
1951,Scotland,Annual Mean Temperature,6.72
1952,Scotland,Annual Mean Temperature,6.57
1953,Scotland,Annual Mean Temperature,7.89
1954,Scotland,Annual Mean Temperature,6.83
1955,Scotland,Annual Mean Temperature,6.98
1956,Scotland,Annual Mean Temperature,6.84
1957,Scotland,Annual Mean Temperature,7.46
1958,Scotland,Annual Mean Temperature,6.88
1959,Scotland,Annual Mean Temperature,7.86
1960,Scotland,Annual Mean Temperature,7.24
1961,Scotland,Annual Mean Temperature,7.21
1962,Scotland,Annual Mean Temperature,6.52
1963,Scotland,Annual Mean Temperature,6.37
1964,Scotland,Annual Mean Temperature,7.13
1965,Scotland,Annual Mean Temperature,6.42
1966,Scotland,Annual Mean Temperature,6.68
1967,Scotland,Annual Mean Temperature,7.18
1968,Scotland,Annual Mean Temperature,6.79
1969,Scotland,Annual Mean Temperature,6.8
1970,Scotland,Annual Mean Temperature,6.87
1971,Scotland,Annual Mean Temperature,7.63
1972,Scotland,Annual Mean Temperature,6.93
1973,Scotland,Annual Mean Temperature,7.04
1974,Scotland,Annual Mean Temperature,7.17
1975,Scotland,Annual Mean Temperature,7.47
1976,Scotland,Annual Mean Temperature,7.43
1977,Scotland,Annual Mean Temperature,6.91
1978,Scotland,Annual Mean Temperature,6.94
1979,Scotland,Annual Mean Temperature,6.18
1980,Scotland,Annual Mean Temperature,7.04
1981,Scotland,Annual Mean Temperature,6.73
1982,Scotland,Annual Mean Temperature,7.27
1983,Scotland,Annual Mean Temperature,7.4
1984,Scotland,Annual Mean Temperature,7.3
1985,Scotland,Annual Mean Temperature,6.44
1986,Scotland,Annual Mean Temperature,6.42
1987,Scotland,Annual Mean Temperature,6.65
1988,Scotland,Annual Mean Temperature,7.49
1989,Scotland,Annual Mean Temperature,7.58
1990,Scotland,Annual Mean Temperature,7.79
1991,Scotland,Annual Mean Temperature,7.37
1992,Scotland,Annual Mean Temperature,7.28
1993,Scotland,Annual Mean Temperature,6.87
1994,Scotland,Annual Mean Temperature,7.22
1995,Scotland,Annual Mean Temperature,7.51
1996,Scotland,Annual Mean Temperature,7.03
1997,Scotland,Annual Mean Temperature,8.09
1998,Scotland,Annual Mean Temperature,7.67
1999,Scotland,Annual Mean Temperature,7.8
2000,Scotland,Annual Mean Temperature,7.67
2001,Scotland,Annual Mean Temperature,7.32
2002,Scotland,Annual Mean Temperature,7.98
2003,Scotland,Annual Mean Temperature,8.18
2004,Scotland,Annual Mean Temperature,8.09
2005,Scotland,Annual Mean Temperature,8.06
2006,Scotland,Annual Mean Temperature,8.2
2007,Scotland,Annual Mean Temperature,8.16
2008,Scotland,Annual Mean Temperature,7.64
2009,Scotland,Annual Mean Temperature,7.8
2010,Scotland,Annual Mean Temperature,6.51
2011,Scotland,Annual Mean Temperature,8.02
2012,Scotland,Annual Mean Temperature,7.29
2013,Scotland,Annual Mean Temperature,7.49
2014,Scotland,Annual Mean Temperature,8.43
2015,Scotland,Annual Mean Temperature,7.56
2016,Scotland,Annual Mean Temperature,7.8
2017,Scotland,Annual Mean Temperature,8.01
2018,Scotland,Annual Mean Temperature,7.77
2019,Scotland,Annual Mean Temperature,7.93
2020,Scotland,Annual Mean Temperature,8.02
2021,Scotland,Annual Mean Temperature,7.84
2022,Scotland,Annual Mean Temperature,8.49
1884,Northern Ireland,Annual Mean Temperature,8.7
1885,Northern Ireland,Annual Mean Temperature,7.81
1886,Northern Ireland,Annual Mean Temperature,7.79
1887,Northern Ireland,Annual Mean Temperature,8.32
1888,Northern Ireland,Annual Mean Temperature,8.0
1889,Northern Ireland,Annual Mean Temperature,8.67
1890,Northern Ireland,Annual Mean Temperature,8.69
1891,Northern Ireland,Annual Mean Temperature,8.28
1892,Northern Ireland,Annual Mean Temperature,7.47
1893,Northern Ireland,Annual Mean Temperature,9.3
1894,Northern Ireland,Annual Mean Temperature,8.5
1895,Northern Ireland,Annual Mean Temperature,7.85
1896,Northern Ireland,Annual Mean Temperature,8.61
1897,Northern Ireland,Annual Mean Temperature,8.53
1898,Northern Ireland,Annual Mean Temperature,9.23
1899,Northern Ireland,Annual Mean Temperature,8.96
1900,Northern Ireland,Annual Mean Temperature,8.4
1901,Northern Ireland,Annual Mean Temperature,8.28
1902,Northern Ireland,Annual Mean Temperature,8.09
1903,Northern Ireland,Annual Mean Temperature,8.18
1904,Northern Ireland,Annual Mean Temperature,8.16
1905,Northern Ireland,Annual Mean Temperature,8.49
1906,Northern Ireland,Annual Mean Temperature,8.31
1907,Northern Ireland,Annual Mean Temperature,7.78
1908,Northern Ireland,Annual Mean Temperature,8.4
1909,Northern Ireland,Annual Mean Temperature,7.6
1910,Northern Ireland,Annual Mean Temperature,8.07
1911,Northern Ireland,Annual Mean Temperature,8.51
1912,Northern Ireland,Annual Mean Temperature,8.08
1913,Northern Ireland,Annual Mean Temperature,8.36
1914,Northern Ireland,Annual Mean Temperature,8.56
1915,Northern Ireland,Annual Mean Temperature,7.82
1916,Northern Ireland,Annual Mean Temperature,8.19
1917,Northern Ireland,Annual Mean Temperature,7.83
1918,Northern Ireland,Annual Mean Temperature,8.4
1919,Northern Ireland,Annual Mean Temperature,7.66
1920,Northern Ireland,Annual Mean Temperature,8.39
1921,Northern Ireland,Annual Mean Temperature,9.4
1922,Northern Ireland,Annual Mean Temperature,7.88
1923,Northern Ireland,Annual Mean Temperature,8.13
1924,Northern Ireland,Annual Mean Temperature,8.34
1925,Northern Ireland,Annual Mean Temperature,8.29
1926,Northern Ireland,Annual Mean Temperature,8.74
1927,Northern Ireland,Annual Mean Temperature,8.34
1928,Northern Ireland,Annual Mean Temperature,8.38
1929,Northern Ireland,Annual Mean Temperature,8.32
1930,Northern Ireland,Annual Mean Temperature,8.14
1931,Northern Ireland,Annual Mean Temperature,8.23
1932,Northern Ireland,Annual Mean Temperature,8.49
1933,Northern Ireland,Annual Mean Temperature,8.89
1934,Northern Ireland,Annual Mean Temperature,8.82
1935,Northern Ireland,Annual Mean Temperature,8.44
1936,Northern Ireland,Annual Mean Temperature,8.26
1937,Northern Ireland,Annual Mean Temperature,8.24
1938,Northern Ireland,Annual Mean Temperature,8.9
1939,Northern Ireland,Annual Mean Temperature,8.7
